Month,Category,Value
Jul 2014,Arrivals,1.59
Jul 2014,Departures,1.34
Aug 2014,Arrivals,1.36
Aug 2014,Departures,1.43
Sep 2014,Arrivals,1.38
Sep 2014,Departures,1.41
Oct 2014,Arrivals,1.57
Oct 2014,Departures,1.30
Nov 2014,Arrivals,1.34
Nov 2014,Departures,1.36
Dec 2014,Arrivals,1.46
Dec 2014,Departures,1.71
Jan 2015,Arrivals,1.78
Jan 2015,Departures,1.49
Feb 2015,Arrivals,1.42
Feb 2015,Departures,1.24
Mar 2015,Arrivals,1.39
Mar 2015,Departures,1.45
Apr 2015,Arrivals,1.37
Apr 2015,Departures,1.41
May 2015,Arrivals,1.22
May 2015,Departures,1.31
Jun 2015,Arrivals,1.23
Jun 2015,Departures,1.46
Jul 2015,Arrivals,1.65
Jul 2015,Departures,1.43
Aug 2015,Arrivals,1.42
Aug 2015,Departures,1.45
Sep 2015,Arrivals,1.46
Sep 2015,Departures,1.48
Oct 2015,Arrivals,1.65
Oct 2015,Departures,1.40
Nov 2015,Arrivals,1.42
Nov 2015,Departures,1.44
Dec 2015,Arrivals,1.58
Dec 2015,Departures,1.85
Jan 2016,Arrivals,1.91
Jan 2016,Departures,1.64
Feb 2016,Arrivals,1.56
Feb 2016,Departures,1.37
Mar 2016,Arrivals,1.48
Mar 2016,Departures,1.54
Apr 2016,Arrivals,1.47
Apr 2016,Departures,1.49
May 2016,Arrivals,1.30
May 2016,Departures,1.39
Jun 2016,Arrivals,1.33
Jun 2016,Departures,1.58
Jul 2016,Arrivals,1.83
Jul 2016,Departures,1.57
Aug 2016,Arrivals,1.51
Aug 2016,Departures,1.55
Sep 2016,Arrivals,1.59
Sep 2016,Departures,1.60
Oct 2016,Arrivals,1.78
Oct 2016,Departures,1.50
Nov 2016,Arrivals,1.51
Nov 2016,Departures,1.54
Dec 2016,Arrivals,1.72
Dec 2016,Departures,1.99
Jan 2017,Arrivals,2.07
Jan 2017,Departures,1.78
Feb 2017,Arrivals,1.63
Feb 2017,Departures,1.39
Mar 2017,Arrivals,1.52
Mar 2017,Departures,1.58
Apr 2017,Arrivals,1.65
Apr 2017,Departures,1.71
May 2017,Arrivals,1.40
May 2017,Departures,1.49
Jun 2017,Arrivals,1.42
