Country,2019,2024
New Zealand,1262.298,1215.83
Japan,437.547,313.778
Hong Kong,271.502,188.696
Singapore,393.226,325.188
Malaysia,349.81,168.686
Indonesia,186.752,189.798
Taiwan,185.275,128.094
Thailand,92.39,89.793
Korea,263.059,301.203
China,1329.057,680.813
India,342.694,389.562
Other Asia,397.166,521.524
USA,750.446,662.923
Canada,175.559,154.502
UK,673.015,577.793
Germany,198.589,151.246
Scandinavia,105.835,78.95
France,137.174,114.186
Italy,74.902,62.418
Netherlands,57.427,49.764
Switzerland,53.591,40.345
Other Europe,257.419,249.018
Other Countries,539.562,524.37
