Country,Continent,People
New Zealand,Oceania,1215.83
Japan,Asia,313.778
Hong Kong,Asia,188.696
Singapore,Asia,325.188
Malaysia,Asia,168.686
Indonesia,Asia,189.798
Taiwan,Asia,128.094
Thailand,Asia,89.793
Korea,Asia,301.203
China,Asia,680.813
India,Asia,389.562
Vietnam,Asia,165.849
Phillipines,Asia,155.925
USA,North America,662.923
Canada,North America,154.502
UK,Europe,577.793
Germany,Europe,151.246
Scandinavia,Europe,78.95
France,Europe,114.186
Italy,Europe,62.418
Netherlands,Europe,49.764
Switzerland,Europe,40.345
Other Countries,Rest Of World,524.37
